disk,capacity,type,node
sde,1.8T,WD2000FYYZ-23UL,c14.1
sdf,1.8T,WD2000FYYZ-23UL,c14.1
sdg,1.8T,WD2000FYYZ-23UL,c14.1
sdh,1.8T,WD2000FYYZ-23UL,c14.1
sdi,1.8T,WD2000FYYZ-23UL,c14.1
sdj,1.8T,MG04ACA200N,c14.1
sdk,1.8T,WD2000FYYZ-23UL,c14.1
sda,1.8T,WD2000FYYZ-23UL,c14.10
sdb,1.8T,WD2000FYYZ-23UL,c14.10
sdc,1.8T,WD2000FYYZ-23UL,c14.10
sdd,1.8T,WDC WD2003FZEX-0,c14.10
sde,1.8T,MG04ACA200N,c14.10
sdf,1.8T,MG04ACA200N,c14.10
sdg,1.8T,WD2000FYYZ-23UL,c14.10
sdh,1.8T,WD2000FYYZ-23UL,c14.10
sdi,1.8T,WD2000FYYZ-23UL,c14.10
sdj,1.8T,WD2000FYYZ-23UL,c14.10
sdk,1.8T,WD2000FYYZ-23UL,c14.10
sda,1.8T,WDC WD2003FZEX-0,c14.11
sdb,1.8T,WD2000FYYZ-23UL,c14.11
sdc,1.8T,WD2000FYYZ-23UL,c14.11
sdd,1.8T,WD2000FYYZ-23UL,c14.11
sde,1.8T,WD2000FYYZ-23UL,c14.11
sdf,1.8T,WD2000FYYZ-23UL,c14.11
sdg,1.8T,WD2000FYYZ-23UL,c14.11
sdh,1.8T,WD2000FYYZ-23UL,c14.11
sdi,1.8T,WD2000FYYZ-23UL,c14.11
sdj,1.8T,WD2000FYYZ-23UL,c14.11
sdk,1.8T,WD2000FYYZ-23UL,c14.11
sda,1.8T,WD2000FYYZ-23UL,c14.14
sdb,1.8T,WD2000FYYZ-23UL,c14.14
sdc,1.8T,WDC WD2003FZEX-0,c14.14
sdd,1.8T,WD2000FYYZ-23UL,c14.14
sde,1.8T,WD2000FYYZ-23UL,c14.14
sdf,1.8T,WD2000FYYZ-23UL,c14.14
sdg,1.8T,WD2000FYYZ-23UL,c14.14
sdh,1.8T,WD2000FYYZ-23UL,c14.14
sdi,1.8T,WD2000FYYZ-23UL,c14.14
sdj,1.8T,WD2000FYYZ-23UL,c14.14
sdk,1.8T,WD2000FYYZ-23UL,c14.14
sda,1.8T,WD2000FYYZ-23UL,c14.15
sdb,1.8T,WD2000FYYZ-23UL,c14.15
sdc,1.8T,WD2000FYYZ-23UL,c14.15
sdd,1.8T,WD2000FYYZ-23UL,c14.15
sde,1.8T,WD2000FYYZ-23UL,c14.15
sdf,1.8T,WD2000FYYZ-23UL,c14.15
sdg,1.8T,WD2000FYYZ-23UL,c14.15
sdh,1.8T,WD2000FYYZ-23UL,c14.15
sdi,1.8T,WD2000FYYZ-23UL,c14.15
sdj,1.8T,WD2000FYYZ-23UL,c14.15
sdk,1.8T,WD2000FYYZ-23UL,c14.15
sda,1.8T,WD2000FYYZ-23UL,c14.16
sdb,1.8T,WD2000FYYZ-23UL,c14.16
sdc,1.8T,WD2000FYYZ-23UL,c14.16
sdd,1.8T,WD2000FYYZ-23UL,c14.16
sde,1.8T,WD2000FYYZ-23UL,c14.16
sdf,1.8T,WD2000FYYZ-23UL,c14.16
sdg,1.8T,WD2000FYYZ-23UL,c14.16
sdh,1.8T,ST2000NM0011,c14.16
sdi,1.8T,WD2000FYYZ-23UL,c14.16
sdj,1.8T,WD2000FYYZ-23UL,c14.16
sdk,1.8T,MG04ACA200N,c14.16
sda,1.8T,WD2000FYYZ-23UL,c14.17
sdb,1.8T,WD2000FYYZ-23UL,c14.17
sdc,1.8T,ST2000NM0011,c14.17
sdd,1.8T,ST2000NM0033,c14.17
sde,1.8T,ST2000NM0033,c14.17
sdf,1.8T,ST2000NM0033,c14.17
sdg,1.8T,ST2000NM0033,c14.17
sdj,1.8T,MG04ACA200N,c14.17
sdk,1.8T,MG04ACA200N,c14.17
sdl,1.8T,MG04ACA200N,c14.17
sdm,1.8T,MG04ACA200N,c14.17
sda,1.8T,WD2000FYYZ-23UL,c14.2
sdb,1.8T,WD2000FYYZ-23UL,c14.2
sdc,1.8T,WD2000FYYZ-23UL,c14.2
sdd,1.8T,WDC WD2003FZEX-0,c14.2
sde,1.8T,WD2000FYYZ-23UL,c14.2
sdf,1.8T,WD2000FYYZ-23UL,c14.2
sdg,1.8T,WD2000FYYZ-23UL,c14.2
sdh,1.8T,WD2000FYYZ-23UL,c14.2
sdi,1.8T,WD2000FYYZ-23UL,c14.2
sdj,1.8T,WD2000FYYZ-23UL,c14.2
sdk,1.8T,WD2000FYYZ-23UL,c14.2
sda,1.8T,WD2000FYYZ-23UL,c14.3
sdb,1.8T,WD2000FYYZ-23UL,c14.3
sdc,1.8T,WD2000FYYZ-23UL,c14.3
sdd,1.8T,WD2000FYYZ-23UL,c14.3
sde,1.8T,WD2000FYYZ-23UL,c14.3
sdf,1.8T,WD2000FYYZ-23UL,c14.3
sdg,1.8T,WD2000FYYZ-23UL,c14.3
sdh,1.8T,WD2000FYYZ-23UL,c14.3
